name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Prairie Stream,,,"W,U",Titus Lunter,1,Land — Plains Island,({T}: Add {W} or {U} to your mana pool.)\nPrairie Stream enters the battlefield tapped unless you control two or more basic lands.,"BFZ,EXP",,normal,405105,,,Mythic Rare,"Plains,Island",Land
Sunken Hollow,,,"U,B",Titus Lunter,2,Land — Island Swamp,({T}: Add {U} or {B} to your mana pool.)\nSunken Hollow enters the battlefield tapped unless you control two or more basic lands.,"BFZ,EXP",,normal,405111,,,Mythic Rare,"Island,Swamp",Land
Smoldering Marsh,,,"B,R",Titus Lunter,3,Land — Swamp Mountain,({T}: Add {B} or {R} to your mana pool.)\nSmoldering Marsh enters the battlefield tapped unless you control two or more basic lands.,"BFZ,EXP",,normal,405108,,,Mythic Rare,"Swamp,Mountain",Land
Cinder Glade,,,"R,G",Titus Lunter,4,Land — Mountain Forest,({T}: Add {R} or {G} to your mana pool.)\nCinder Glade enters the battlefield tapped unless you control two or more basic lands.,"BFZ,EXP",,normal,405097,,,Mythic Rare,"Mountain,Forest",Land
Canopy Vista,,,"W,G",Titus Lunter,5,Land — Forest Plains,({T}: Add {G} or {W} to your mana pool.)\nCanopy Vista enters the battlefield tapped unless you control two or more basic lands.,"BFZ,EXP",,normal,405096,,,Mythic Rare,"Forest,Plains",Land
Hallowed Fountain,,,"W,U",Min Yum,6,Land — Plains Island,"({T}: Add {W} or {U} to your mana pool.)\nAs Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.","DIS,RTR,EXP",,normal,405100,,,Mythic Rare,"Plains,Island",Land
Watery Grave,,,"U,B",Min Yum,7,Land — Island Swamp,"({T}: Add {U} or {B} to your mana pool.)\nAs Watery Grave enters the battlefield, you may pay 2 life. If you don't, Watery Grave enters the battlefield tapped.","RAV,GTC,EXP",,normal,405114,,,Mythic Rare,"Island,Swamp",Land
Blood Crypt,,,"B,R",Min Yum,8,Land — Swamp Mountain,"({T}: Add {B} or {R} to your mana pool.)\nAs Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.","DIS,RTR,EXP",,normal,405093,,,Mythic Rare,"Swamp,Mountain",Land
Stomping Ground,,,"R,G",Min Yum,9,Land — Mountain Forest,"({T}: Add {R} or {G} to your mana pool.)\nAs Stomping Ground enters the battlefield, you may pay 2 life. If you don't, Stomping Ground enters the battlefield tapped.","GPT,GTC,EXP",,normal,405110,,,Mythic Rare,"Mountain,Forest",Land
Temple Garden,,,"W,G",Min Yum,10,Land — Forest Plains,"({T}: Add {G} or {W} to your mana pool.)\nAs Temple Garden enters the battlefield, you may pay 2 life. If you don't, Temple Garden enters the battlefield tapped.","RAV,RTR,EXP",,normal,405112,,,Mythic Rare,"Forest,Plains",Land
